ID,name,pos,Team Name,Game Num,Goal,Assist,Pts,TOI per Goal,+/-,PIM,HIT,SB,Shots on Goal,Shot Accuracy,ShA,GF,GA,GF%,SF,SA,SF%,FF,FA,FF%,CF,CA,CF%,FOW,FOT,FO%,ZEX,ZEX-Att,ZEX%,FOL,KEY,MISS,BLKD,GIVE,TAKE,TAKEN,HITTK,PENL,DRAWN,SERV,ZEXP,ZEXD,ZEN,ZEND,FZEX,FZEXD
55,Adam Bignell,D,WAT,1,1,0,1,1608,-1,0,0,0,2,50,2,1,2,33.3,6,10,37.5,6,10,37.5,6,10,37.5,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Michael Morgan,RW,WAT,1,0,0,0,1147,-1,0,0,0,1,0,1,0,2,0,1,10,9.1,2,10,16.7,2,10,16.7,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Phillip Fife,LW,WAT,1,0,1,1,1010,1,0,0,0,0,,0,1,0,100,3,8,27.3,3,8,27.3,3,8,27.3,0,0,,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Daniel Perigo,LW,WAT,1,0,0,0,936,0,0,0,0,0,,0,0,0,,3,6,33.3,3,6,33.3,3,6,33.3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Nick Halagian,LW,WAT,1,1,0,1,957,1,2,0,0,4,25,4,3,1,75,7,4,63.6,7,4,63.6,7,4,63.6,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Tommy Tsicos,RW,WAT,1,0,0,0,1148,-1,0,0,0,0,,0,0,1,0,3,8,27.3,3,8,27.3,3,8,27.3,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Markson Bechtold,C,WAT,1,0,1,1,719,0,2,0,0,0,,0,1,1,50,3,5,37.5,3,5,37.5,3,5,37.5,2,5,40,0,0,,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,Conner Cole,LW,WAT,1,1,0,1,608,0,0,0,0,1,100,1,2,1,66.7,6,1,85.7,6,1,85.7,6,1,85.7,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ryan Haynes,D,WAT,1,0,0,0,1309,0,0,0,0,0,,0,2,2,50,7,7,50,7,7,50,7,7,50,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Eric Cimino,D,WAT,1,0,0,0,1425,0,0,0,0,0,,0,1,1,50,4,11,26.7,5,11,31.3,5,11,31.3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
